darija,phoneticTranscription,translations.english,translations.french,translations.spanish,translations.italian,translations.german,category.english,category.french,category.spanish,category.italian,category.german,scenario.english,scenario.french,scenario.spanish,scenario.italian,scenario.german,pictureLink,likes,difficulty,estimated_difficulty,__v,updatedAt,cultural_context,meaning_details,usage_contexts,related_content
واش كاين شي مسرح قريب؟,Wash kayn shi masrah qrib?,Is there a theater nearby?,Y a-t-il un théâtre à proximité ?,¿Hay algún teatro cerca?,C'è un teatro nelle vicinanze?,Gibt es ein Theater in der Nähe?,Entertainment,Divertissement,Entretenimiento,Intrattenimento,Unterhaltung,Looking for a theater,Chercher un théâtre,Buscar un teatro,Cercare un teatro,Nach einem Theater suchen,/images/theater.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي مسرح قريب؟' is essential for tourists visiting Morocco, especially when navigating Entertainment situations like Looking for a theater."", 'examples': [""Example in a souk (market): 'واش كاين شي مسرح قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي مسرح قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي مسرح قريب؟' is 'Is there a theater nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a theater nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي مسرح قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي مسرح قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي مسرح قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي مسرح قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي مسرح قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي مسرح قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي مسرح قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي مسرح قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي مسرح قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي مسرح قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي مسرح قريب؟ in context of 'Looking for a theater'.""]}"
واش كاين شي حانة قريبة؟,Wash kayn shi hana qriba?,Is there a bar nearby?,Y a-t-il un bar à proximité ?,¿Hay algún bar cerca?,C'è un bar nelle vicinanze?,Gibt es eine Bar in der Nähe?,Nightlife,Vie nocturne,Vida nocturna,Vita notturna,Nachtleben,Looking for a bar,Chercher un bar,Buscar un bar,Cercare un bar,Nach einer Bar suchen,/images/bar.jpg,7,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كاين شي حانة قريبة؟' is essential for tourists visiting Morocco, especially when navigating Nightlife situations like Looking for a bar."", 'examples': [""Example in a souk (market): 'واش كاين شي حانة قريبة؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي حانة قريبة؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي حانة قريبة؟' is 'Is there a bar nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a bar nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي حانة قريبة؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي حانة قريبة؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي حانة قريبة؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي حانة قريبة؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي حانة قريبة؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي حانة قريبة؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي حانة قريبة؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي حانة قريبة؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي حانة قريبة؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي حانة قريبة؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي حانة قريبة؟ in context of 'Looking for a bar'.""]}"
واش كاين شي ناد ليلي قريب؟,Wash kayn shi nadi layli qrib?,Is there a nightclub nearby?,Y a-t-il une boîte de nuit à proximité ?,¿Hay alguna discoteca cerca?,C'è una discoteca nelle vicinanze?,Gibt es einen Nachtclub in der Nähe?,Nightlife,Vie nocturne,Vida nocturna,Vita notturna,Nachtleben,Looking for a nightclub,Chercher une boîte de nuit,Buscar una discoteca,Cercare una discoteca,Nach einem Nachtclub suchen,/images/nightclub.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي ناد ليلي قريب؟' is essential for tourists visiting Morocco, especially when navigating Nightlife situations like Looking for a nightclub."", 'examples': [""Example in a souk (market): 'واش كاين شي ناد ليلي قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي ناد ليلي قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي ناد ليلي قريب؟' is 'Is there a nightclub nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a nightclub nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي ناد ليلي قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي ناد ليلي قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي ناد ليلي قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي ناد ليلي قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي ناد ليلي قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي ناد ليلي قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي ناد ليلي قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي ناد ليلي قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي ناد ليلي قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي ناد ليلي قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي ناد ليلي قريب؟ in context of 'Looking for a nightclub'.""]}"
واش كاين شي مقهى قريب؟,Wash kayn shi maqha qrib?,Is there a café nearby?,Y a-t-il un café à proximité ?,¿Hay algún café cerca?,C'è un caffè nelle vicinanze?,Gibt es ein Café in der Nähe?,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Looking for a café,Chercher un café,Buscar un café,Cercare un caffè,Nach einem Café suchen,/images/cafe.jpg,7,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كاين شي مقهى قريب؟' is essential for tourists visiting Morocco, especially when navigating Dining situations like Looking for a café."", 'examples': [""Example in a souk (market): 'واش كاين شي مقهى قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي مقهى قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي مقهى قريب؟' is 'Is there a café nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a café nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي مقهى قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي مقهى قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي مقهى قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي مقهى قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي مقهى قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي مقهى قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي مقهى قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي مقهى قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي مقهى قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي مقهى قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي مقهى قريب؟ in context of 'Looking for a café'.""]}"
واش كاين شي مطعم حلال قريب؟,Wash kayn shi mat3am halal qrib?,Is there a halal restaurant nearby?,Y a-t-il un restaurant halal à proximité ?,¿Hay algún restaurante halal cerca?,C'è un ristorante halal nelle vicinanze?,Gibt es ein Halal-Restaurant in der Nähe?,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Looking for a halal restaurant,Chercher un restaurant halal,Buscar un restaurante halal,Cercare un ristorante halal,Nach einem Halal-Restaurant suchen,/images/halal_restaurant.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي مطعم حلال قريب؟' is essential for tourists visiting Morocco, especially when navigating Dining situations like Looking for a halal restaurant."", 'examples': [""Example in a souk (market): 'واش كاين شي مطعم حلال قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي مطعم حلال قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي مطعم حلال قريب؟' is 'Is there a halal restaurant nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a halal restaurant nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي مطعم حلال قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي مطعم حلال قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي مطعم حلال قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي مطعم حلال قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي مطعم حلال قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي مطعم حلال قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي مطعم حلال قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي مطعم حلال قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي مطعم حلال قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي مطعم حلال قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي مطعم حلال قريب؟ in context of 'Looking for a halal restaurant'.""]}"
واش كاين شي مطعم نباتي قريب؟,Wash kayn shi mat3am nabati qrib?,Is there a vegetarian restaurant nearby?,Y a-t-il un restaurant végétarien à proximité ?,¿Hay algún restaurante vegetariano cerca?,C'è un ristorante vegetariano nelle vicinanze?,Gibt es ein vegetarisches Restaurant in der Nähe?,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Looking for a vegetarian restaurant,Chercher un restaurant végétarien,Buscar un restaurante vegetariano,Cercare un ristorante vegetariano,Nach einem vegetarischen Restaurant suchen,/images/vegetarian_restaurant.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي مطعم نباتي قريب؟' is essential for tourists visiting Morocco, especially when navigating Dining situations like Looking for a vegetarian restaurant."", 'examples': [""Example in a souk (market): 'واش كاين شي مطعم نباتي قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي مطعم نباتي قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي مطعم نباتي قريب؟' is 'Is there a vegetarian restaurant nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a vegetarian restaurant nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي مطعم نباتي قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي مطعم نباتي قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي مطعم نباتي قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي مطعم نباتي قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي مطعم نباتي قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي مطعم نباتي قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي مطعم نباتي قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي مطعم نباتي قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي مطعم نباتي قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي مطعم نباتي قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي مطعم نباتي قريب؟ in context of 'Looking for a vegetarian restaurant'.""]}"
نقدر نخدم معاك؟,Nqdar nkhdam m3ak?,Can I work with you?,Puis-je travailler avec vous ?,¿Puedo trabajar contigo?,Posso lavorare con te?,Kann ich mit dir arbeiten?,Work,Travail,Trabajo,Lavoro,Arbeit,Asking to collaborate on a project,Demander à collaborer sur un projet,Pedir colaborar en un proyecto,Chiedere di collaborare a un progetto,Nach Zusammenarbeit an einem Projekt fragen,/images/collaboration.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'نقدر نخدم معاك؟' is essential for tourists visiting Morocco, especially when navigating Work situations like Asking to collaborate on a project."", 'examples': [""Example in a souk (market): 'نقدر نخدم معاك؟' - used to ask for prices or greetings."", ""Polite interaction: 'نقدر نخدم معاك؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'نقدر نخدم معاك؟' is 'Can I work with you?'."", 'figurative': ""In a tourist context, it can imply 'Can I work with you?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'نقدر نخدم معاك؟'."", ""Shortened form: 'نقد'.""], 'similar_phrases': [""Phrases with similar intent: 'نقدر نخدم معاك؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'نقدر نخدم معاك؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'نقدر نخدم معاك؟'.""], 'regional_variations': [""In northern Morocco, 'نقدر نخدم معاك؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'نقدر نخدم معاك؟?' when asking for the menu."", ""In a taxi: 'نقدر نخدم معاك؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'نقدر نخدم معاك؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'نقدر نخدم معاك؟' for different intents.""], 'related_phrases': [""Phrases like 'نقدر نخدم معاك؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'نقدر نخدم معاك؟ in context of 'Asking to collaborate on a project'.""]}"
كيفاش نسجل فهاد الكورس؟,Kifash nsajjal f-had l-kurs?,How do I enroll in this course?,Comment puis-je m'inscrire à ce cours ?,¿Cómo me inscribo en este curso?,Come posso iscrivermi a questo corso?,Wie kann ich mich für diesen Kurs anmelden?,Education,Éducation,Educación,Istruzione,Bildung,Enrolling in an educational course,S'inscrire à un cours,Inscribirse en un curso,Iscriversi a un corso,Sich für einen Kurs anmelden,/images/course_enrollment.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'كيفاش نسجل فهاد الكورس؟' is essential for tourists visiting Morocco, especially when navigating Education situations like Enrolling in an educational course."", 'examples': [""Example in a souk (market): 'كيفاش نسجل فهاد الكورس؟' - used to ask for prices or greetings."", ""Polite interaction: 'كيفاش نسجل فهاد الكورس؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'كيفاش نسجل فهاد الكورس؟' is 'How do I enroll in this course?'."", 'figurative': ""In a tourist context, it can imply 'How do I enroll in this course?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'كيفاش نسجل فهاد الكورس؟'."", ""Shortened form: 'كيف'.""], 'similar_phrases': [""Phrases with similar intent: 'كيفاش نسجل فهاد الكورس؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'كيفاش نسجل فهاد الكورس؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'كيفاش نسجل فهاد الكورس؟'.""], 'regional_variations': [""In northern Morocco, 'كيفاش نسجل فهاد الكورس؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'كيفاش نسجل فهاد الكورس؟?' when asking for the menu."", ""In a taxi: 'كيفاش نسجل فهاد الكورس؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'كيفاش نسجل فهاد الكورس؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'كيفاش نسجل فهاد الكورس؟' for different intents.""], 'related_phrases': [""Phrases like 'كيفاش نسجل فهاد الكورس؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'كيفاش نسجل فهاد الكورس؟ in context of 'Enrolling in an educational course'.""]}"
واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟,Wash 3andak shi nasiha bash nt3allam d-darija bsor3a?,Do you have any tips to learn Darija quickly?,Avez-vous des conseils pour apprendre rapidement le darija ?,¿Tienes algún consejo para aprender dariya rápidamente?,Hai consigli per imparare velocemente il darija?,"Hast du Tipps, um schnell Darija zu lernen?",Language Learning,Apprentissage des langues,Aprendizaje de idiomas,Apprendimento delle lingue,Sprachenlernen,Seeking advice for language learning,Demander des conseils pour l'apprentissage des langues,Buscar consejos para aprender idiomas,Chiedere consigli per l'apprendimento delle lingue,Nach Tipps zum Sprachenlernen fragen,/images/language_learning.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' is essential for tourists visiting Morocco, especially when navigating Language Learning situations like Seeking advice for language learning."", 'examples': [""Example in a souk (market): 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' is 'Do you have any tips to learn Darija quickly?'."", 'figurative': ""In a tourist context, it can imply 'Do you have any tips to learn Darija quickly?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟'.""], 'regional_variations': [""In northern Morocco, 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟?' when asking for the menu."", ""In a taxi: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' for different intents.""], 'related_phrases': [""Phrases like 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش عندك شي نصيحة باش نتعلم الدارجة بسرعة؟ in context of 'Seeking advice for language learning'.""]}"
شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟,Shnu hiya ahsan tariqa bash nhawwal l-flus l-l-maghrib?,What's the best way to transfer money to Morocco?,Quelle est la meilleure façon de transférer de l'argent au Maroc ?,¿Cuál es la mejor manera de transferir dinero a Marruecos?,Qual è il modo migliore per trasferire denaro in Marocco?,"Was ist der beste Weg, um Geld nach Marokko zu überweisen?",Finance,Finance,Finanzas,Finanza,Finanzen,Inquiring about international money transfer,Se renseigner sur les transferts d'argent internationaux,Preguntar sobre transferencias internacionales de dinero,Chiedere informazioni sui trasferimenti internazionali di denaro,Nach internationalen Geldüberweisungen fragen,/images/money_transfer.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' is essential for tourists visiting Morocco, especially when navigating Finance situations like Inquiring about international money transfer."", 'examples': [""Example in a souk (market): 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' - used to ask for prices or greetings."", ""Polite interaction: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' is 'What's the best way to transfer money to Morocco?'."", 'figurative': ""In a tourist context, it can imply 'What's the best way to transfer money to Morocco?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟'."", ""Shortened form: 'شنو'.""], 'similar_phrases': [""Phrases with similar intent: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟'.""], 'regional_variations': [""In northern Morocco, 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟?' when asking for the menu."", ""In a taxi: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' for different intents.""], 'related_phrases': [""Phrases like 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شنو هي أحسن طريقة باش نحول الفلوس للمغرب؟ in context of 'Inquiring about international money transfer'.""]}"
واش كاين شي جمعية تطوعية نقدر نشارك فيها؟,Wash kayn shi jam3iya tatawu3iya nqdar nsharek fiha?,Is there a volunteer organization I can participate in?,Y a-t-il une organisation bénévole à laquelle je peux participer ?,¿Hay alguna organización de voluntariado en la que pueda participar?,C'è un'organizzazione di volontariato a cui posso partecipare?,"Gibt es eine Freiwilligenorganisation, bei der ich mitmachen kann?",Community Service,Service communautaire,Servicio comunitario,Servizio alla comunità,Gemeinschaftsdienst,Looking for volunteer opportunities,Chercher des opportunités de bénévolat,Buscar oportunidades de voluntariado,Cercare opportunità di volontariato,Nach Freiwilligenmöglichkeiten suchen,/images/volunteer_work.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' is essential for tourists visiting Morocco, especially when navigating Community Service situations like Looking for volunteer opportunities."", 'examples': [""Example in a souk (market): 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' is 'Is there a volunteer organization I can participate in?'."", 'figurative': ""In a tourist context, it can imply 'Is there a volunteer organization I can participate in?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي جمعية تطوعية نقدر نشارك فيها؟ in context of 'Looking for volunteer opportunities'.""]}"
